instance,rows,cols,ours_status,ours_objective,ours_seconds,highs_status,highs_objective,highs_seconds,gurobi_status,gurobi_objective,gurobi_seconds
shell,536,1775,OPTIMAL,1208825345.9976256,0.015204708,Optimal,1208825346.0,0.01,Optimal,1208825346.0,0.0031608589997631498
scfxm2,660,914,OPTIMAL,36660.261558653656,0.027147663,Optimal,36660.261565,0.01,Optimal,36660.26156499881,0.0087641039999653
pilot4,410,1000,OPTIMAL,-2581.1392588872313,0.063385562,Optimal,-2581.1392589,0.02,Optimal,-2581.139261281196,0.017745177000506374
scsd6,147,1350,OPTIMAL,50.500000078262374,0.013929192,Optimal,50.500000078,0.01,Optimal,50.500000078262374,0.003599616999963473
ship04s,402,1458,OPTIMAL,1798714.699814752,0.005342737,Optimal,1798714.7004,0.01,Optimal,1798714.7004453917,0.002423188999273407
seba,515,1028,OPTIMAL,15711.6,0.014239587,Optimal,15711.6,0.0,Optimal,15711.599999999999,0.0009498809995420743
grow15,300,645,OPTIMAL,-106870941.29358006,0.03912295,Optimal,-106870941.29,0.03,Optimal,-106870941.2935752,0.027084084999842162
fffff800,524,854,OPTIMAL,555679.5633862277,0.023227409,Optimal,555679.56482,0.01,Optimal,555679.5648174962,0.004021662000013748
bnl1,643,1175,OPTIMAL,1977.6295467503494,0.056045387,Optimal,1977.6295615,0.02,Optimal,1977.629561522888,0.013658992999808106
perold,625,1376,OPTIMAL,-9380.755280034542,0.240535886,Optimal,-9380.7552782,0.04,Optimal,-9380.75527838453,0.035929432000557426
scfxm3,990,1371,OPTIMAL,54901.25454016932,0.060576083,Optimal,54901.25455,0.02,Optimal,54901.25454975146,0.014458429999649525
ganges,1309,1681,OPTIMAL,-109585.73613077587,0.053631364,Optimal,-109585.73613,0.01,Optimal,-109585.73612927811,0.0048870939999687835
sctap2,1090,1880,OPTIMAL,1724.807142857143,0.049386358,Optimal,1724.8071429,0.01,Optimal,1724.807142857143,0.004251475999808463
grow22,440,946,OPTIMAL,-160834336.48256445,0.090759842,Optimal,-160834336.48,0.06,Optimal,-160834336.4825631,0.04237705800005642
maros,846,1443,OPTIMAL,-58063.74370622383,0.065789896,Optimal,-58063.743701,0.03,Optimal,-58063.74370111975,0.01358457200058183
25fv47,821,1571,OPTIMAL,5501.845886543759,0.341864263,Optimal,5501.8458883,0.1,Optimal,5501.845888286631,0.08944372799942357
fit1p,627,1677,OPTIMAL,9146.378092420933,0.110807265,Optimal,9146.3780924,0.03,Optimal,9146.378092420935,0.017990809999901103
fit1d,24,1026,OPTIMAL,-9146.378092420933,0.019992558,Optimal,-9146.3780924,0.01,Optimal,-9146.378092420928,0.0034398560001136502
degen3,1503,1818,OPTIMAL,-987.294,1.952755326,Optimal,-987.294,0.12,Optimal,-987.2940000000007,0.061887913999271404
